language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date,value2_name,value2,contributer
Agul,Burshag,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06,,,
Agul,Huppuq',village,yes,yes,Presence of geminates,Presence of geminates,attested,maisakganenkov2016,,George Moroz,2021.10.04,,,
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Presence of geminates,Presence of geminates,attested,creisselsdraft2020,,George Moroz,2021.10.04,,,
Akhvakh,Tad-Magitl',village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06,,,
Andi,Andi,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,321,George Moroz,2017.05.06,,,
Andi,Zilo,village,yes,yes,Presence of geminates,Presence of geminates,attested,kayeetaldraft2020,,George Moroz,2021.10.04,,,
Archi,Archib,village,yes,yes,Presence of geminates,Presence of geminates,attested,kibrik1994a,300,George Moroz,2021.10.04,,,
Archi,Archib,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06,,,
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Presence of geminates,Presence of geminates,not attested,dum-tragut2009,"17, 19, 18, 20",George Moroz,2021.10.04,,,
Avar,Chadakolob,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06,,,
Avar,Standard Avar,language,yes,yes,Presence of geminates,Presence of geminates,attested,alekseevataev1997,35,George Moroz,2021.10.04,,,
Azerbaijani,Standard Azerbaijani,language,yes,yes,Presence of geminates,Presence of geminates,not attested,shiralievsevortyan1971,16--26,George Moroz,2021.10.04,,,
Bagvalal,Kvanada,village,yes,yes,Presence of geminates,Presence of geminates,attested,kibrik2001,35--46,George Moroz,2021.10.04,,,
Bezhta,Bezhta,language,yes,yes,Presence of geminates,Presence of geminates,not attested,comrieetal2015,86,George Moroz,2021.10.04,,,
Bezhta,Tlyadal,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,330,Viola Ivanova,2017.05.06,,,
