glottocode,lang,language,idiom,type,segment,segment_source,segment_type,source,page,comment,contributer,date
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃː,c̄̌,consonant,kibrikkodzasov1990,322–323,"спирантная часть сильных аффрикат произносится узко, напряженно и без придыхания",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃːʷ,c̄̌˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃʰ,č,consonant,kibrikkodzasov1990,322–323,редкая фонема для этого языка; спирантная часть слабых аффрикат произносится очень воздушно и сопровождается придыханием,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃʰʷ,č˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,w,w,consonant,kibrikkodzasov1990,322–323,в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,x,x,consonant,kibrikkodzasov1990,322–323,встречается только в аваризмах,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,xː,x̄,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,xːʷ,x̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,xʷ,x˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,z,z,consonant,kibrikkodzasov1990,322–323,слабые спиранты произносятся очень воздушно и сопровождаются придыханием,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,zʷ,z˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʒ,ž,consonant,kibrikkodzasov1990,322–323,слабые спиранты произносятся очень воздушно и сопровождаются придыханием,Viola Ivanova,2017.05.06
